year,title,lb_rating,tmdb_rating,genres,runtime_min,budget,revenue,original_language,production_companies,imdb_id,tmdb_id,original_title,tmdb_popularity,vote_count,release_date,overview,production_countries,status,tagline,profit
2016,Wet Woman in the Wind,3.1,5.7,"Drama, Romance",77,,268.0,ja,Nikkatsu Corporation,tt5883008,408270,風に濡れた女,16.6416,68,2016-12-17,"Dissipated Tokyo playwright, Kosuke has retreated to the countryside after deciding that he's done with women, but the indefatigable cat-in-heat Shiori has other ideas, clinging to Kosuke like his shadow.",Japan,Released,,
2016,The Handmaiden,4.39,8.2,"Thriller, Drama, Romance",145,8575000.0,38600000.0,ko,"Moho Film, Yong Film, CJ Entertainment",tt4016934,290098,아가씨,12.4759,4189,2016-06-01,"1930s Korea, in the period of Japanese occupation, a new girl, Sookee, is hired as a handmaiden to a Japanese heiress, Hideko, who lives a secluded life on a large countryside estate with her domineering Uncle Kouzuki. But the maid has a secret. She is a pickpocket recruited by a swindler posing as a Japanese Count to help him seduce the Lady to steal her fortune.",South Korea,Released,,30025000.0
2016,Train to Busan,3.98,7.749,"Horror, Thriller, Action, Adventure",118,8500000.0,87547518.0,ko,"Next Entertainment World, RedPeter Films, Contents Panda, Union Investment Partners, KTB Network",tt5700672,396535,부산행,12.1812,8165,2016-07-20,"When a zombie virus pushes Korea into a state of emergency, those trapped on an express train to Busan must fight for their own survival.",South Korea,Released,Life-or-death survival begins.,79047518.0
2016,A Silent Voice: The Movie,4.2,8.384,"Animation, Drama, Romance",129,,30819442.0,ja,"Kyoto Animation, ABC Animation, Kodansha, Pony Canyon, Quaras, Shochiku",tt5323662,378064,映画 聲の形,8.4138,4359,2016-09-17,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",Japan,Released,Sometimes the answer is as simple as learning to listen.,
2017,Godzilla: Planet of the Monsters,2.62,6.4,"Animation, Action, Science Fiction",89,,3300000.0,ja,"Polygon Pictures, TOHO",tt5979874,449574,GODZILLA 怪獣惑星,5.6103,539,2017-11-17,"A desperate group of refugees attempts to recolonize Earth 20,000 years after Godzilla took over. But one young man wants revenge above all else.",Japan,Released,Who will survive? Humankind or Godzilla?,
2017,Resident Evil: Vendetta,3.09,6.913,"Action, Animation, Adventure, Science Fiction, Horror",97,,256320.0,ja,"Capcom, Stage 6 Films, Marza Animation Planet, KADOKAWA",tt5776208,400136,バイオハザード ヴェンデッタ,5.4428,1063,2017-05-27,"When a fearless enemy out for revenge unleashes a brutal and deadly new virus, BSAA captain Chris Redfield enlists the help of Agent Leon S. Kennedy and Professor Rebecca Chambers to bring down the death merchant and save New York City.","Japan, United States of America",Released,Evil is reborn,
2017,Kamen Rider × Super Sentai: Ultra Super Hero Wars,3.07,5.7,"Action, Adventure, Science Fiction",95,,,ja,Toei Company,,433726,仮面ライダー×スーパー戦隊 超スーパーヒーロー大戦,5.2174,18,2017-03-25,"The Game World launches an attack on the real world. In front of Kamen Rider Ex-Aid and the Uchu Sentai Kyuranger appears the ""Arena of Death"" where the destruction of the Earth will be decided. Trapped in this inescapable dimension, generations of Super Sentai and Kamen Riders must engage in a battle royale, an unprecedented battlefield of many puzzles connecting the real and game worlds. And then, ""Those Heroes"" revive... Everything is scaled up, all rules are broken! And when it seems like the real world will fall into a disaster, imagination brings forth unimaginable new heroes!",Japan,Released,"Collect, the power of all heroes!",
2017,Mazinger Z: Infinity,3.03,6.9,"Action, Science Fiction, Animation",95,,2732673.0,ja,"Toei Animation, Toei Company",tt6470762,452970,劇場版 マジンガーZ ／ INFINITY,4.9085,330,2017-10-27,"When the evil Dr. Hell attacks the Earth, the mighty giant mecha Mazinger Z is formed to stop him.",Japan,Released,,
2017,Tokyo Idols,3.54,6.688,"Music, Documentary",88,,,ja,"EyeSteelFilm, Brakeless, WDR/Arte, Super Channel, BBC, IKONdocs, SVT, DR",tt6039532,433092,Tokyo Idols,4.7073,48,2017-07-28,"This exploration of Japan's fascination with girl bands and their music follows an aspiring pop singer and her fans, delving into the cultural obsession with young female sexuality and the growing disconnect between men and women in hypermodern societies.","Canada, Denmark, Germany, Netherlands, Norway, Sweden, United Kingdom",Released,,
2017,Policeman and Me,2.91,7.1,Comedy,124,,,ja,"Shochiku, Nippon Television Network Corporation, Kodansha, Kinoshita Group, J Storm, Yomiuri Telecasting Corporation, Sapporo Television Broadcasting Company, The STVradio Broadcasting, THEFOOL",tt5701132,438660,PとJK,4.4092,44,2017-03-25,"Kako, a 16-year-old high school girl, goes to a mixer pretending to be 22. While there, she meets Kouta who at first has a very intimidating aura. But once he saves her from an awkward situation, she wants to know more about him as does he. That is until he finds out she isn't 22. The next day Kako runs into him again, but this time he's working as a police officer. Kako still wants to get closer to Kouta, but he isn't interested or is he?",Japan,Released,,
