Year,Title,Director,Genres,LB_Rating,TMDb_Popularity
1982,The Magic Ballad,Tadanari Okamoto,Animation,None,2.3561
1982,Oh! Takarazuka,Kōyū Ohara,"Drama, Comedy",None,3.3844
1982,Starbirds,Michael Part,"Animation, Action, Science Fiction",None,3.191
1983,Sailor Uniform: Lily Lovers 2,Hiroyuki Nasu,"Drama, Romance",None,7.3625
1983,Choro Q Dougram,Masanori Miura,"Animation, Comedy, Science Fiction",None,2.4812
1983,Modori River,Tatsumi Kumashiro,,None,2.3135
1983,The Samurai and the Secret of the Flower,Susumu Kodama,"History, Action, Drama",None,2.0445
1983,"Merry Christmas, Mr. Lawrence",Nagisa Ōshima,"Drama, History, War",3.94,1.873
1984,Lensman,Kazuyuki Hirokawa,"Animation, Action, Science Fiction",3.22,6.0513
1984,Nausicaä of the Valley of the Wind,Hayao Miyazaki,"Adventure, Animation, Fantasy",None,5.7857
1984,Godzilla Fantasia,Senkichi Taniguchi,"Music, Science Fiction, Fantasy",None,4.7276
1984,Joshidai-ryō VS kango gakuen-ryō,Nobuyuki Saitō,,None,2.2764
1984,Nun in Rope Hell,Katsuhiko Fujii,"Drama, Horror",3.01,2.1344
1985,Clara White Paper - ShohjotaiPHOON!,Yoshisuke Kawasaki,"Comedy, Drama",None,3.622
1985,Guinea Pig: Devil's Experiment,Satoru Ogura,Horror,2.02,3.6474
1985,Sotsugyou -GRADUATION-,Ryō Kinoshita,Drama,None,3.9005
1985,Ran,Akira Kurosawa,"Action, Drama, History",4.51,4.466
1985,Beautiful Teacher in Torture Hell,Masahito Segawa,"Drama, Thriller, Horror",3.09,8.217
1986,Castle in the Sky,Hayao Miyazaki,"Adventure, Fantasy, Animation, Action, Family",4.08,7.6569
1986,Mr. Pen Pen,Yuzo Yamada,"Animation, TV Movie",None,4.1665
1986,Pro Golfer Saru: Super Golf World e no Chousen!!,Junji Nishimura,Animation,None,3.9132
1986,Superdimensional Romanesque Samy: Missing 99,Seiji Okuda,"Fantasy, Action, Adventure, Animation, Science Fiction",None,3.4264
1986,"Hello, Kids!",Mariko Miyagi,Documentary,None,3.0464
1987,Black Magic M-66,Shirow Masamune,"Action, Animation, Science Fiction",3.32,3.0845
1987,Holey Pants: Desire on a Stroll,Nobuyuki Kitajima,Animation,None,3.1945
1987,Dragon Ball: Sleeping Princess in Devil's Castle,Daisuke Nishio,"Action, Animation, Fantasy, Horror",2.93,2.8822
1987,Metal Skin Panic MADOX-01,Shinji Aramaki,"Science Fiction, Action, Comedy, Animation",3.09,4.7553
1987,Take the X Train,Rintaro,"Animation, Comedy, Science Fiction",3.46,4.4671
1988,My Neighbor Totoro,Hayao Miyazaki,"Fantasy, Animation, Family",4.19,10.1945
1988,Akira,Katsuhiro Otomo,"Animation, Science Fiction, Action",4.28,7.7174
